Site,Climate Variable,Alternate Source,Corrected in _conservative,CRU and ALT differ in paired t-test?,Mean (CRU_monthly_mean-ALT_monthly_mean)
"Utah_Forest_Dynamics_Plot",tmn,PRISM,1,1,-3.11924175671698
"Utah_Forest_Dynamics_Plot",tmp,PRISM,1,1,-5.68098842118382
"Utah_Forest_Dynamics_Plot",tmx,PRISM,1,1,-8.26486293240539
"Utah_Forest_Dynamics_Plot",pre,PRISM,1,1,48.2281198621642
"Smithsonian_Conservation_Biology_Institute",tmn,PRISM,0,1,-0.505209011789351
"Smithsonian_Conservation_Biology_Institute",tmp,PRISM,0,1,-1.10842699453177
"Smithsonian_Conservation_Biology_Institute",tmx,PRISM,0,1,-1.7478360114094
"Smithsonian_Conservation_Biology_Institute",pre,PRISM,0,1,4.85518643251907
"Smithsonian_Environmental_Research_Center",tmn,PRISM,0,1,-0.226454728584428
"Smithsonian_Environmental_Research_Center",tmp,PRISM,0,1,-0.334232149462908
"Smithsonian_Environmental_Research_Center",tmx,PRISM,0,1,-0.483650040965882
"Smithsonian_Environmental_Research_Center",pre,PRISM,0,1,-1.69428170331254
"Harvard_Forest",tmn,PRISM,0,1,-0.629301389445795
"Harvard_Forest",tmp,PRISM,0,1,-1.25666841885937
"Harvard_Forest",tmx,PRISM,0,1,-1.91105294771235
"Harvard_Forest",pre,PRISM,0,1,4.10056356805252
"Lilly_Dickey_Woods",tmn,PRISM,0,1,0.602585088616977
"Lilly_Dickey_Woods",tmp,PRISM,0,1,0.330687366932159
"Lilly_Dickey_Woods",tmx,PRISM,0,1,0.0275007875373137
"Lilly_Dickey_Woods",pre,PRISM,0,1,4.88139743271724
"Wabikon",tmn,PRISM,0,1,1.35066738931604
"Wabikon",tmp,PRISM,0,1,0.932459457293435
"Wabikon",tmx,PRISM,0,1,0.506370943919549
"Wabikon",pre,PRISM,0,1,1.747804237019
"Wind_River",tmn,PRISM,0,0,0.0185327927427708
"Wind_River",tmp,PRISM,0,1,0.548907249459309
"Wind_River",tmx,PRISM,0,1,1.04789629720629
"Wind_River",pre,PRISM,1,1,42.1283006369423
"Michigan_Big_Woods",tmn,PRISM,0,1,-1.01133759342132
"Michigan_Big_Woods",tmp,PRISM,0,1,-0.808362145379547
"Michigan_Big_Woods",tmx,PRISM,0,1,-0.634792987463524
"Michigan_Big_Woods",pre,PRISM,0,1,-1.16153781763621
"University_of_Maryland,_Baltimore_County",tmn,PRISM,0,1,1.03656451464569
"University_of_Maryland,_Baltimore_County",tmp,PRISM,0,1,0.656769791975422
"University_of_Maryland,_Baltimore_County",tmx,PRISM,0,1,0.240247351865343
"University_of_Maryland,_Baltimore_County",pre,PRISM,0,1,1.59374171150191
"Tyson_Research_Center",tmn,PRISM,0,1,0.381648598805556
"Tyson_Research_Center",tmp,PRISM,0,1,0.313920939574302
"Tyson_Research_Center",tmx,PRISM,0,1,0.209612132609638
"Tyson_Research_Center",pre,PRISM,0,1,5.87641299571157
"Yosemite_National_Park",tmn,PRISM,1,1,2.66603447108251
"Yosemite_National_Park",tmp,PRISM,0,1,-0.518513301940484
"Yosemite_National_Park",tmx,PRISM,1,1,-3.73013858592925
"Yosemite_National_Park",pre,PRISM,0,1,2.2472638101315
"Santa_Cruz",tmn,PRISM,1,1,-2.15826399355695
"Santa_Cruz",tmp,PRISM,0,0,-0.0123338488224016
"Santa_Cruz",tmx,PRISM,1,1,2.08522650877225
"Santa_Cruz",pre,PRISM,1,1,52.7789885809396
