"Description: ","Dates where the change in TX is > 20 degrees."
"Station: ","SCBI_mettower_data_sensor1"
"Latitude: ","30"
"Longitude: ","78"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-09-14"
Date,TX
2011-3-7,21.2
2016-5-28,31.5
2016-5-29,31
2016-8-8,22.2
2016-9-1,23.5
2016-9-2,24.8
2016-10-2,65.3
2016-10-3,56.7
2016-10-7,56
2016-10-8,52.1
2017-6-15,35.2
2017-6-17,62.1
2017-6-18,44.8
2017-6-19,42.4
2017-7-3,25.1
2017-7-4,26.7
2017-7-5,54.8
2017-7-6,64.5
2017-7-27,30
2017-7-28,21.6
2017-7-31,22.5
2017-8-1,23.4
2017-9-14,69.8
2017-9-15,69.1
2017-10-10,38
2017-10-11,42.5
2017-10-12,62.6
2017-11-2,57.1
2017-11-3,58.4
2017-12-9,27.5
2017-12-10,34.6
2018-1-13,20.3
2018-5-26,24.6
2018-5-27,34.4
2018-5-28,64.9
2018-6-11,23.8
2018-6-21,69.8
2018-6-22,69.7
2018-6-24,69.4
2018-6-25,74.5
2018-6-30,27.2
2018-7-1,27.8
2018-7-4,62.8
2018-7-5,67.2
2018-7-6,55
2018-7-22,39
2018-7-23,41.6
2018-7-27,40.1
2018-7-28,44.8
2018-7-31,48.4
2018-8-2,36.1
2018-8-3,57.9
2018-8-5,64.5
2018-8-6,35.2
2018-8-7,38
2018-8-9,31
2018-8-10,37
2018-8-12,60.8
2018-8-13,45.4
2018-8-17,20.5
2018-8-20,77.8
2018-8-24,40.2
2018-8-28,27.2
2018-9-2,32.8
2018-9-3,25.7
2018-9-6,24.3
2018-9-11,47.3
2018-10-4,25.6
2018-11-1,67
2018-11-2,58.6
2018-11-9,25.9
2018-11-10,26.1
2018-11-14,48.2
2018-11-16,45.8
2018-12-31,52
2019-1-3,56.2
2019-1-4,36.1
2019-1-5,39.9
2019-2-6,53
2019-2-7,54.9
2019-3-20,35
2019-3-21,38.2
2019-5-4,65.7
2019-5-5,62.5
2019-5-7,78
2019-5-9,89.5
2019-5-19,39.1
2019-5-20,29.2
2019-5-23,68.2
2019-5-25,85.3
2019-5-29,51.8
2019-5-30,47
2019-6-5,59.4
2019-6-6,24.6
2019-6-7,87.3
2019-6-9,44.9
2019-6-10,54.5
2019-6-14,64.1
2019-6-15,66.1
2019-6-18,26.4
2019-6-19,29
2019-6-24,44.6
2019-6-25,43.7
2019-6-28,34.7
2019-6-29,37.4
2019-7-2,35.3
2019-7-3,53
2019-7-4,48.7
2019-7-5,51
2019-7-6,32.4
2019-7-8,39.2
2019-7-16,25.4
2019-8-10,22.1
2019-8-11,35.6
2019-8-12,77.6
2019-9-1,24.7
2019-9-2,28.2
2019-9-9,22
2019-9-11,35
2019-9-23,72
2019-9-24,45.2
2019-9-28,62.8
2019-10-1,72.3
2019-10-6,48.8
2019-10-7,42.8
2019-10-8,77.3
