"year","c02_ppm"
1901,296.2191
1902,296.3973
1903,296.652
1904,297.0012
1905,297.4366
1906,297.8837
1907,298.3233
1908,298.7272
1909,299.0624
1910,299.3141
1911,299.5416
1912,299.82
1913,300.1743
1914,300.5865
1915,301.0586
1916,301.5742
1917,302.1061
1918,302.6124
1919,303.0476
1920,303.3881
1921,303.6591
1922,303.8949
1923,304.1296
1924,304.3854
1925,304.6646
1926,304.992
1927,305.3711
1928,305.7965
1929,306.2273
1930,306.6139
1931,306.9661
1932,307.3024
1933,307.6412
1934,307.9971
1935,308.3682
1936,308.7454
1937,309.1504
1938,309.6082
1939,310.0768
1940,310.4871
1941,310.7975
1942,310.9933
1943,311.0459
1944,310.989
1945,310.8733
1946,310.8083
1947,310.8038
1948,310.8721
1949,311.0242
1950,311.2407
1951,311.4847
1952,311.7859
1953,312.1931
1954,312.7537
1955,313.4586
1956,314.126
1957,314.6769
1958,315.1709
1959,315.6582
1960,316.1464
1961,316.667
1962,317.2378
1963,317.8368
1964,318.4488
1965,319.1043
1966,319.8608
1967,320.7604
1968,321.7668
1969,322.824
1970,323.8883
1971,324.9674
1972,326.0949
1973,327.2837
1974,328.4639
1975,329.6384
1975,220.236666666667
1976,332.055
1977,333.8375
1978,335.415
1979,336.85
1980,338.768333333333
1981,340.109166666667
1982,341.444166666667
1983,343.063333333333
1984,344.679166666667
1985,346.113333333333
1986,347.4125
1987,349.209166666667
1988,351.5525
1989,353.125833333333
1990,354.393333333333
1991,355.601666666667
1992,356.4475
1993,357.11
1994,358.831666666667
1995,360.810833333333
1996,362.618333333333
1997,363.735
1998,366.705
1999,368.3725
2000,369.565833333333
2001,371.1325
2002,373.278333333333
2003,375.809166666667
2004,377.553333333333
2005,379.788333333333
2006,381.895833333333
2007,383.800833333333
2008,385.546666666667
2009,387.429166666667
2010,389.9
2011,391.6475
2012,393.856666666667
2013,396.52
2014,398.643333333333
2015,400.835
2016,404.245
2017,406.544166666667
2018,408.525
2019,411.441666666667
